,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved
1,Urbanrise World of Joy,Urbanrise World of Joy,Konu,85545,17.523278,78.347333,"17.523278, 78.347333",7099,,Gated community,502032,#N/A,2223,,,no
2,Fortune Greenhomes Sapphire,Fortune Greenhomes Sapphire,Konu,86667,17.467806,78.281389,"17.467806, 78.281389",7200,,Gated community,502032,#N/A,1137.5,,,no
3,Aspire Space Ameya,Aspire Space Ameya,Konu,117585,17.523917,78.346944,"17.523917, 78.346944",6299,,Gated community,502032,#N/A,1340,,,no
4,Aakriti Cyan,Aakriti Cyan,Konu,86664,17.469833,78.279361,"17.469833, 78.279361",6299,,Gated community,502032,#N/A,1275,,,yes
5,"Aavaas (Miyapur, Hyderabad),by Nebula",Aavaas (Miyapur,Konu,,17.523056,78.355278,"17.523056, 78.355278",6100,,Gated community,502032,"Hyderabad),by Nebula",1608,,,no
6,My Home Jewel,My Home Jewel,Konu,,17.49175,78.338694,"17.491750, 78.338694",6231,,Gated community,502032,#N/A,1246.05,,,no
7,Commercial Space,Commercial Space,Konu,,17.519786,78.31974,"17.519786, 78.319740",9125,4280,Commercial Spaces,502032,#N/A,911.95,,,no
8,Industrial Plot,Industrial Plot,Konu,,17.534095,78.331103,"17.534095, 78.331103",10200,1500,Commercial Spaces,502032,#N/A,1525,,,no
9,Commercial Space,Commercial Space,Konu,,17.524707,78.320577,"17.524707, 78.320577",8200,1615,Commercial Spaces,502032,#N/A,934,,,no
10,Showroom Space,Showroom Space,Konu,,17.517358,78.320226,"17.517358, 78.320226",10071,1420,Commercial Spaces,502032,#N/A,1632.15,,,no
11,Commercial Space,Commercial Space,Konu,,17.520767,78.303785,"17.520767, 78.303785",10067,1500,Commercial Spaces,502032,#N/A,3000,,,no
12,Stand Alone,Stand Alone,Konu,,17.531528,78.298111,"17.531528, 78.298111",6000,1200,Stand Alone,502032,#N/A,1214,,,no
13,Stand Alone,Stand Alone,Konu,,17.546278,78.294028,"17.546278, 78.294028",5300,1140,Stand Alone,502032,#N/A,911,,,no
14,Stand Alone,Stand Alone,Konu,,17.546556,78.294694,"17.546556, 78.294694",6100,1050,Stand Alone,502032,#N/A,1069,,,no
15,Stand Alone,Stand Alone,Konu,,17.546556,78.294694,"17.546556, 78.294694",5800,3006,Stand Alone,502032,#N/A,1323.4,,,no
16,Stand Alone,Stand Alone,Konu,,17.518222,78.314194,"17.518222, 78.314194",5750,1203,Stand Alone,502032,#N/A,1374.75,,,no
17,Stand Alone,Stand Alone,Konu,,17.521333,78.303056,"17.521333, 78.303056",5300,1050,Stand Alone,502032,#N/A,917,,,no
18,Stand Alone,Stand Alone,Konu,,17.531222,78.300528,"17.531222, 78.300528",5800,3006,Stand Alone,502032,#N/A,2540,,,no
18,Stand Alone,Stand Alone,Konu,,17.530417,78.300333,"17.530417, 78.300333",5800,3006,Stand Alone,502032,#N/A,928,,,no
20,Stand Alone,Stand Alone,Konu,,17.523528,78.303583,"17.523528, 78.303583",4700,1250,Stand Alone,502032,#N/A,362.7,,,no
21,Stand Alone,Stand Alone,Konu,,17.535028,78.307972,"17.535028, 78.307972",3750,1200,Stand Alone,502032,,,,,no
22, Ambience Parkview, Ambience Parkview,Konu,126795,17.449167,78.35875,"17.449167, 78.358750",10200,9899,Gated community,500032,#N/A,1322,,,no
23, Jayabheri The Nirvana, Jayabheri The Nirvana,Konu,118625,17.430861,78.324028,"17.430861, 78.324028",,,Gated community,500032,#N/A,910,,,yes
24, Jayabheri The Sahasra, Jayabheri The Sahasra,Konu,118621,17.4365,78.317556,"17.436500, 78.317556",8100,9000,Gated community,500032,#N/A,1625,,,yes
25, Sumadhura The Olympus, Sumadhura The Olympus,Konu,120104,17.419611,78.349972,"17.419611, 78.349972",10000,10000,Gated community,500032,#N/A,880.75,,,no
26,Trendset Jayabheri Elevate,Trendset Jayabheri Elevate,Konu,117746,17.456611,78.366722,"17.456611, 78.366722",13600,14000,Gated community,500032,,1332.5,,,yes
27,Pacifica Hillcrest Phase 2,Pacifica Hillcrest Phase 2,Konu,77827/1,17.407694,78.339667,"17.407694, 78.339667",10300,9800,Gated community,500032,#N/A,764.4,,,no
28,Raghava Iris,Raghava Iris,Konu,129835,17.420975,78.383742,"17.420975, 78.383742",13500,13500,Gated community,500032,#N/A,1040,,,no
29, Niharika Lakefront, Niharika Lakefront,Konu,119990,17.413888,78.370735,"17.413888, 78.370735",,8950,Gated community,500032,#N/A,981.5,,,yes
30,Niharika Skyline,Niharika Skyline,Konu,122511,17.418977,78.374332,"17.418977, 78.374332",,12300,Gated community,500032,#N/A,1230,,,yes
31,Ofiice Space,Ofiice Space,Konu,,17.458233,78.363136,"17.458233, 78.363136",11000,,Commercial Spaces,500032,#N/A,1397,,,no
32,Ofiice Space,Ofiice Space,Konu,,17.436436,78.367026,"17.436436, 78.367026",10500,,Commercial Spaces,500032,#N/A,786,,,no
33,Showroom,Showroom,Konu,,17.430418,78.371579,"17.430418, 78.371579",13000,,Commercial Spaces,500032,#N/A,1700,,,no
34,Ofiice Space,Ofiice Space,Konu,,17.43853,78.364407,"17.438530, 78.364407",13946,,Commercial Spaces,500032,#N/A,1082.25,,,no
35,Commercial Space,Commercial Space,Konu,,17.460219,78.354429,"17.460219, 78.354429",15500,,Commercial Spaces,500032,#N/A,1228.5,,,no
36,,Stand Alone,Konu,,17.441389,78.356916,"17.441389, 78.356916",7000,9286,Stand Alone,500032,#N/A,1196,,,no
37,,Stand Alone,Konu,,17.442657,78.355294,"17.442657, 78.355294",9000,6566,Stand Alone,500032,#N/A,1674.4,,,no
38,,Stand Alone,Konu,,,,,1050,9524,Stand Alone,500032,,,,Hyderabad,no
39,,Stand Alone,Konu,,17.432661,78.365741,"17.432661, 78.365741",1031,9070,Stand Alone,500032,,,,Hyderabad,no
40,,Stand Alone,Konu,,17.44907,78.35729,"17.449070, 78.357290",864,8102,Stand Alone,500032,,,,Hyderabad,no
41,,Stand Alone,Konu,,17.43983,78.327995,"17.439830, 78.327995",2000,6944,Stand Alone,500032,,,,Hyderabad,no
42,,Stand Alone,Konu,,17.43669,78.333196,"17.436690, 78.333196",936,7273,Stand Alone,500032,,,,Hyderabad,no
43,,Stand Alone,Konu,,17.443125,78.360804,"17.443125, 78.360804",2300,7826,Stand Alone,500032,,,,Hyderabad,no
44,,Stand Alone,Konu,,17.442481,78.354939,"17.442481, 78.354939",1200,8200,Stand Alone,500032,,,,Hyderabad,no
46,,Stand Alone,Konu,,17.440284,78.359029,"17.440284, 78.359029",1900,9500,Stand Alone,500032,,,,Hyderabad,no
47,Aastha Gardenia,Gated Community Apartment,Konu,,17.437028,78.276694,"17.437028, 78.276694",6199,,Gated community,500019,#N/A,896,,,yes
48,aparna sunstone,Gated Community Apartment,Konu,,17.439167,78.29125,"17.439167, 78.291250",7400,,Gated community,500019,#N/A,1256.45,,,yes
49,snr the elite,Gated Community Apartment,Konu,,17.438861,78.297667,"17.438861, 78.297667",6999,,Gated community,500019,#N/A,1046,,,yes
50,honer aquantis,Gated Community Apartment,Konu,,17.452222,78.300139,"17.452222, 78.300139",7899,,Gated community,500019,#N/A,1190,,,yes
51,honer vivantis,Gated Community Apartment,Konu,,17.453028,78.2995,"17.453028, 78.299500",3699,,Gated community,500019,,,,,no
52,ramky one galaxia,Gated Community Apartment,Konu,,17.461194,78.306611,"17.461194, 78.306611",7299,,Gated community,500019,#N/A,860,,,yes
53,aparna cyberlife,Gated Community Apartment,Konu,,17.469694,78.311806,"17.469694, 78.311806",4399,,Gated community,500019,#N/A,1694,,,no
54,"The Regent by Auro Realty,",Gated Community Apartment,Konu,,17.472528,78.330389,"17.472528, 78.330389",9299,,Gated community,500019,,1215.5,,,no
55,Vaibhavis Vihaan Shikhara,Gated Community Apartment,Konu,,17.466722,78.260694,"17.466722, 78.260694",6700,,Gated community,500019,#N/A,1010,,,yes
56,Marvella by Bricks Infratech,Gated Community Apartment,Konu,,17.449528,78.282556,"17.449528, 78.282556",7000,,Gated community,500019,#N/A,1200,,,no
57,gulmohar colony,Stand Alone,Konu,,17.477222,78.319167,"17°28'38.0""N 78°19'09.0""E",6800,,Stand Alone,500019,#N/A,1250,,,no
58,gulmohar colony,Stand Alone,Konu,,17.476778,78.319306,"17°28'36.4""N 78°19'09.5""E",6500,,Stand Alone,500019,#N/A,1215.5,,,no
